dimos;et;eggegrammenoi;psifisan;akira-lefka;eggira;sindiasmos;avramidis;adamidis;aidona-athanasiadou;alexiadis;anatolitis;apostolidis;vanis;vasiliadou;verginis;galazoudi;garas;gotzamanidou;dalakli;efthimiadis;thanos;theodoraki;ignatiadis;ioannidis;kagias;kanakas;karapistoli;kelesidou;kozakidis;kouhs;kiriakidou;kirillidou;konstantinidou-paralika;konstas;liratzi;mazokopaki;makrantonaki;mavromatis;mitsiou;mpamiatzis;nikolaidou;pagonis;pallas;pantelidou;papathanasiou;papas;peitsi;porfiriadou;rampotas;samara-kapia;saxpazi;stefanidis;terzanidis;teti-xatzitheodoridou;tzaki;tzollas;toulikas;tsakoumi-psaraki;tsamaslis;tsaousidou-lazaridou;tsioulas;fezoudis;fika;fotopoulos;xalaidopoulou;psomiadis
ΔΗΜΟΣ ΑΜΠΕΛΟΚΗΠΩΝ - ΜΕΝΕΜΕΝΗΣ;3321;36332;22165;2540;19625;7602;668;286;482;206;164;243;354;736;176;148;79;180;177;568;458;179;184;177;287;125;92;402;142;532;173;167;87;122;576;61;288;99;166;208;96;211;140;83;84;389;44;152;100;126;170;59;272;61;239;458;138;45;617;107;115;24;168;338;100;1613
ΔΗΜΟΣ ΒΟΛΒΗΣ;8004;27060;20164;1582;18582;8971;277;349;539;245;1648;208;320;1113;90;125;60;69;126;542;801;126;108;77;432;418;66;147;66;305;66;97;40;198;79;53;142;91;67;424;52;361;276;39;151;1710;27;821;142;65;93;32;338;42;890;1181;177;136;1769;135;102;10;151;781;102;1339
ΔΗΜΟΣ ΔΕΛΤΑ;15471;35336;26099;2896;23203;10320;357;181;383;763;121;292;303;513;184;137;88;144;109;691;685;163;115;100;924;2309;119;238;56;490;137;94;285;145;63;43;102;171;88;189;127;310;184;96;82;577;41;646;100;84;66;47;196;38;469;1530;143;61;1076;86;83;10;254;2415;77;1229
ΔΗΜΟΣ ΘΕΡΜΑΪΚΟΥ;18354;30065;22520;2164;20356;8998;377;156;595;210;169;169;162;268;167;174;114;87;91;200;336;218;114;110;253;184;90;300;43;294;190;74;69;205;53;49;180;116;165;209;66;71;240;63;42;341;113;278;185;106;58;87;234;51;2097;769;317;59;1387;214;929;30;172;404;119;1602
ΔΗΜΟΣ ΘΕΡΜΗΣ;25726;32646;24947;2324;22623;9031;269;128;455;302;355;255;163;267;156;302;137;104;117;371;501;194;201;128;346;279;140;264;72;512;167;150;70;230;95;55;381;94;85;217;83;338;1130;106;184;399;100;439;281;95;82;558;300;99;474;786;252;232;1378;135;349;20;219;443;176;1968
ΔΗΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ;358325;247572;133835;11356;122479;45417;1842;1046;3907;882;931;1086;1251;1876;1578;1007;887;810;981;1590;2327;1122;831;1675;1761;671;812;2521;546;2641;818;625;681;988;635;504;2335;570;994;1196;390;742;1016;629;814;1044;616;1104;1391;603;433;365;1483;655;1760;3288;1598;393;3956;576;729;159;2035;1983;1670;9275
ΔΗΜΟΣ ΚΑΛΑΜΑΡΙΑΣ;112119;50915;32280;2872;29408;8699;515;226;588;241;184;229;239;384;248;242;197;191;162;373;398;231;211;193;548;147;172;972;86;504;178;127;126;205;112;79;410;87;166;227;97;182;176;154;133;216;109;173;265;143;96;99;391;90;332;622;310;73;986;137;270;36;293;321;321;1873
ΔΗΜΟΣ ΚΟΡΔΕΛΙΟΥ - ΕΥΟΣΜΟΥ;128583;50962;33352;3670;29682;11748;842;370;546;292;721;376;318;807;321;196;212;203;212;1754;448;222;230;185;481;167;124;428;135;1490;206;156;133;202;209;83;309;145;202;420;151;895;160;152;121;458;102;255;231;176;324;124;302;88;298;623;208;85;859;212;140;28;209;590;180;1879
ΔΗΜΟΣ ΛΑΓΚΑΔΑ;156352;52105;38124;3614;34510;16758;407;384;522;498;1440;549;683;2287;153;229;110;104;240;1098;1046;279;287;146;1355;707;98;278;104;1131;230;136;121;411;114;54;398;137;150;559;93;866;573;111;141;3622;85;1186;159;117;132;81;636;85;1418;1068;327;125;2976;150;222;20;322;873;247;2682
ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ - ΣΥΚΕΩΝ;189770;63339;36668;3638;33030;9966;726;399;760;231;254;393;548;620;242;267;148;255;225;481;615;260;224;261;350;186;185;522;114;533;243;133;125;167;161;65;298;174;207;293;135;175;286;126;107;281;103;234;267;177;134;117;465;81;328;517;295;63;731;151;182;30;266;447;172;1941
ΔΗΜΟΣ ΠΑΥΛΟΥ ΜΕΛΑ;176715;54221;34956;3935;31021;10921;1051;611;595;269;332;417;422;846;152;200;116;175;194;716;757;267;207;179;417;110;129;435;123;592;254;179;133;167;151;77;269;166;156;396;148;315;286;103;84;640;99;240;217;161;301;116;537;90;281;616;407;77;1243;166;209;11;213;449;164;2274
ΔΗΜΟΣ ΠΥΛΑΙΑΣ - ΧΟΡΤΙΑΤΗ;138156;37682;26489;2542;23947;8892;323;145;432;233;238;173;223;363;483;170;116;180;99;279;466;177;204;142;376;95;127;463;65;445;172;91;102;420;84;66;431;66;142;382;46;141;438;103;107;557;102;273;246;112;81;65;244;88;598;664;365;92;996;218;158;24;222;539;143;1712
ΔΗΜΟΣ ΧΑΛΚΗΔΟΝΟΣ;132009;32494;24581;2224;22357;10333;380;251;396;2437;438;373;319;538;180;119;78;101;119;540;931;302;117;96;1336;538;77;183;56;451;87;106;418;238;85;22;139;70;208;275;935;586;196;101;68;431;121;1395;81;72;86;45;255;78;386;604;165;112;1604;98;80;15;523;1213;91;1710
ΔΗΜΟΣ ΩΡΑΙΟΚΑΣΤΡΟΥ;111520;27580;20889;1930;18959;8589;451;260;452;232;158;769;286;845;190;127;105;113;103;512;396;229;172;118;1775;201;76;219;51;507;125;96;83;127;112;43;155;79;109;396;95;189;321;74;77;666;78;597;134;96;288;63;263;62;445;485;124;46;872;334;77;83;146;561;152;1567
